center_number,last_4_digits,points,is_nssac,subject_count
507,60,9,0,6
507,79,22,0,6
508,2,15,0,6
508,4,8,0,6
508,6,6,0,6
508,8,19,0,6
508,10,26,0,6
508,12,14,0,6
508,14,7,0,6
508,16,22,0,6
508,18,3,0,6
508,20,23,0,6
508,22,11,0,6
508,24,28,0,6
508,26,30,0,6
508,28,9,0,6
508,30,27,0,6
508,32,10,0,6
508,34,17,0,6
508,36,10,0,6
508,38,32,0,6
508,40,7,0,6
508,42,0,0,6
508,44,8,0,6
508,46,9,0,6
508,48,22,0,6
508,50,13,0,6
508,52,19,0,6
508,54,23,0,6
508,56,9,0,6
508,58,21,0,6
508,60,9,0,6
508,62,16,0,6
508,64,8,0,6
508,66,7,0,6
508,68,12,0,6
508,70,17,0,6
508,72,15,0,6
508,74,3,0,6
508,76,22,0,6
508,78,22,0,6
509,8,29,0,6
510,3,19,0,6
510,14,20,0,6
510,15,10,0,6
510,23,15,0,6
509,33,25,0,6
510,35,29,0,6
510,40,23,0,6
510,42,20,0,6
509,44,27,0,6
510,58,23,0,6
509,62,37,0,6
509,64,25,0,6
510,75,17,0,6
509,70,17,0,6
511,14,22,0,6
511,18,18,0,6
511,28,13,0,6
511,66,14,0,6
511,70,22,0,6
513,13,24,0,6
513,17,15,0,6
511,79,24,0,6
513,57,6,0,6
513,58,27,0,6
513,59,14,0,6
513,64,21,0,6
513,65,4,0,6
513,79,30,0,6
514,18,14,0,6
514,20,15,0,6
514,28,15,0,6
514,29,15,0,6
514,35,7,0,6
517,6,19,0,6
514,37,7,0,6
514,39,3,0,6
517,10,20,0,6
514,41,16,0,6
517,12,13,0,6
517,20,28,0,6
517,22,15,0,6
517,23,29,0,6
517,25,19,0,6
516,6,17,0,6
516,7,25,0,6
517,30,15,0,6
517,34,19,0,6
517,38,11,0,6
516,20,9,0,6
517,41,19,0,6
516,22,14,0,6
517,43,25,0,6
517,44,12,0,6
517,47,13,0,6
516,31,17,0,6
516,32,21,0,6
516,34,12,0,6
517,55,19,0,6
516,38,13,0,6
516,39,19,0,6
516,43,24,0,6
516,49,21,0,6
516,51,22,0,6
516,61,12,0,6
516,70,23,0,6
520,36,22,0,6
520,42,28,0,6
519,38,7,0,6
520,45,24,0,6
519,44,22,0,6
520,58,24,0,6
519,51,5,0,6
520,63,19,0,6
520,70,18,0,6
519,63,14,0,6
520,77,21,0,6
520,79,20,0,6
519,72,17,0,6
521,26,25,0,6
520,3,28,0,6
