candidate_number,center_number,center_location,points,is_nssac,subject_count
23OA200218,23,OA,18,False,5
23OC030075,23,OC,19,False,6
23OA200219,23,OA,13,False,5
23OC030076,23,OC,13,False,6
23OA200220,23,OA,17,False,5
23OC030077,23,OC,18,False,7
23OA200221,23,OA,14,False,5
23OC030078,23,OC,24,False,6
23OA200222,23,OA,20,False,5
23OC030079,23,OC,18,False,6
23OA200224,23,OA,18,False,5
23OC030081,23,OC,16,False,6
23OA200226,23,OA,21,False,6
23OA200228,23,OA,20,False,6
23OA200229,23,OA,11,False,5
23OC040005,23,OC,11,False,5
23OA200230,23,OA,16,False,5
23OC040006,23,OC,21,False,6
23OC040007,23,OC,11,False,5
23OA240001,23,OA,26,False,5
23OC040011,23,OC,8,False,6
23OA240002,23,OA,30,False,5
23OC040012,23,OC,6,False,5
23OC040016,23,OC,10,False,6
23OA240007,23,OA,8,False,5
23OA240008,23,OA,19,False,6
23OC040018,23,OC,17,False,5
23OA240015,23,OA,28,False,5
23OC040025,23,OC,5,False,5
23OA240016,23,OA,17,False,5
23OC040026,23,OC,3,False,6
23OA240017,23,OA,7,False,5
23OC040027,23,OC,11,False,5
23OC040030,23,OC,10,False,6
23OA240021,23,OA,18,False,5
23OC040032,23,OC,6,False,6
23OA240024,23,OA,32,False,6
23OA240027,23,OA,11,False,5
23OC040037,23,OC,1,False,5
23OA240029,23,OA,7,False,5
23OA240030,23,OA,29,False,6
23OC040039,23,OC,9,False,5
23OA240032,23,OA,21,False,5
23OA240033,23,OA,18,False,5
23OC040042,23,OC,19,False,6
23OC040043,23,OC,22,False,5
23OA240035,23,OA,17,False,5
23OC040044,23,OC,16,False,6
23OC040047,23,OC,11,False,5
23OA240040,23,OA,26,False,6
23OC040049,23,OC,12,False,6
23OC040050,23,OC,16,False,6
23OA240044,23,OA,25,False,5
23OC040052,23,OC,11,False,6
23OA240045,23,OA,20,False,5
23OC040053,23,OC,4,False,5
23OA240046,23,OA,26,False,5
23OC040054,23,OC,16,False,6
23OA240047,23,OA,20,False,5
23OC040056,23,OC,10,False,5
23OA240050,23,OA,28,False,5
23OC040057,23,OC,5,False,5
23OA240051,23,OA,25,False,5
23OC040058,23,OC,6,False,5
23OA240052,23,OA,25,False,5
23OA240053,23,OA,23,False,6
23OC040060,23,OC,10,False,5
23OA240055,23,OA,12,False,5
23OC040061,23,OC,9,False,6
23OA240056,23,OA,19,False,6
23OA240057,23,OA,21,False,6
23OC040068,23,OC,11,False,5
23OC040069,23,OC,17,False,6
23OA240066,23,OA,24,False,5
23OC040070,23,OC,5,False,6
23OC040072,23,OC,12,False,6
23OA240069,23,OA,20,False,5
23OA240070,23,OA,12,False,6
23OC040075,23,OC,11,False,6
23OA240072,23,OA,27,False,6
23OA240073,23,OA,27,False,6
23OC030004,23,OC,24,False,7
23OC030005,23,OC,9,False,7
23OC050001,23,OC,12,False,5
23OC030009,23,OC,34,False,6
23OC050006,23,OC,33,False,6
23OC030011,23,OC,19,False,6
23OC030013,23,OC,10,False,6
23OC050011,23,OC,28,False,6
23OC050012,23,OC,24,False,6
23OC030018,23,OC,26,False,7
23OC030020,23,OC,16,False,6
23OC030021,23,OC,27,False,6
23OC050017,23,OC,7,False,5
23OC030022,23,OC,17,False,6
23OC030023,23,OC,15,False,6
23OC050019,23,OC,23,False,6
23OC050020,23,OC,28,False,6
23OC030025,23,OC,19,False,6
23OC050021,23,OC,17,False,6
23OC030026,23,OC,30,False,6
23OC050022,23,OC,26,False,6
23OC050023,23,OC,25,False,6
23OC050024,23,OC,18,False,6
23OC030031,23,OC,12,False,6
23OC050030,23,OC,32,False,6
23OC050031,23,OC,11,False,5
23OC050032,23,OC,28,False,6
23OC030035,23,OC,25,False,6
23OC030036,23,OC,12,False,7
23OC050034,23,OC,15,False,5
23OC030038,23,OC,11,False,6
23OC030039,23,OC,21,False,6
23OC050037,23,OC,17,False,5
23OC050039,23,OC,29,False,6
23OC030041,23,OC,12,False,7
23OC030042,23,OC,25,False,6
23OC050042,23,OC,23,False,6
23OC030043,23,OC,23,False,6
23OC050043,23,OC,20,False,6
23OC030044,23,OC,12,False,6
23OC050044,23,OC,27,False,6
23OC030045,23,OC,27,False,6
23OC050045,23,OC,28,False,6
"""","""",,0,False,0
23OC050048,23,OC,21,False,5
